,gene,Level4,source,Phenotypes
23352,CYP27A1,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Cerebrotendinous xanthomatosis, 213700;progressive lower extremity spasticity,often disproportionate to any degree of weakness"
23353,CYP7B1,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Spastic paraplegia 5A, autosomal recessive, 270800"
23354,DARS,Hereditary spastic paraplegia - adult onset,gene_panel_567,"leg spasticity;Brain stem and spinal cord Hypomyelination;Hypomyelination with brainstem and spinal cord involvement and leg spasticity, 615281"
23355,DDHD1,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Spastic paraplegia 28, autosomal recessive, 609340"
23356,DDHD2,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Spastic paraplegia 54, autosomal recessive, 615033"
23357,ERLIN2,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Spastic paraplegia, autosomal dominant;neurodegeneration.;Spastic paraplegia 18, autosomal recessive, 611225;hereditary spastic paraplegia"
23358,FA2H,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Spastic paraplegia 35, autosomal recessive, 611026"
23359,FBXO7,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Parkinson disease 15, autosomal recessive, OMIM:260300"
23360,FXN,Hereditary spastic paraplegia - adult onset,gene_panel_567,Friedreich ataxia OMIM:229300;Friedreich ataxia with retained reflexes OMIM:229300;Friedreich ataxia 1 MONDO:0100340
23361,GALC,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Krabbe disease, OMIM:245200"
23362,GBA2,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Spastic paraplegia 46, autosomal recessive, 614409"
23363,GBE1,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Polyglucosan body disease, adult form, OMIM:263570"
23364,GCH1,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Dystonia;progressive spastic paraplegia;Dystonia, DOPA-responsive, with or without hyperphenylalaninemia, 128230;Spastic paraplegia"
23365,GJA1,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Oculodentodigital dysplasia, OMIM:164200;Spastic paraplegia"
23366,KCNA2,Hereditary spastic paraplegia - adult onset,gene_panel_567,Hereditary spastic paraplegia and ataxia
23367,KIF1A,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Spastic paraplegia 30, autosomal dominant, OMIM:610357;Spastic paraplegia 30, autosomal recessive, OMIM:610357;NESCAV syndrome, OMIM:614255"
23368,KIF1C,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Spastic ataxia 2, autosomal recessive, 611302;Spastic ataxia 2, autosomal recessive"
23369,KIF5A,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Spastic paraplegia 10, autosomal dominant or pseudoautosomal, NOT imprinted, 604187"
23370,NIPA1,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Spasticparaplegia 6,autosomal dominant, pseudoautosomal, NOT imprinted, 600363"
23371,OPA3,Hereditary spastic paraplegia - adult onset,gene_panel_567,"3-methylglutaconic aciduria, type III, 258501;Costeff syndrome, Optic atrophy 3 with cataract, 165300, AD"
23372,PCYT2,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Spastic paraplegia 82, autosomal recessive, 618770"
23373,PLP1,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Spastic paraplegia 2, X-linked recessive, 312920"
23374,PNPLA6,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Spastic paraplegia 39, autosomal recessive, 612020"
23375,POLR3A,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Leukodystrophy, hypomyelinating, 7, with or without oligodontia and/or hypogonadotropic hypogonadism, 607694;Autosomal Recessive Ataxia"
23376,PSEN1,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Alzheimer disease, type 3, with spastic paraparesis, apraxia and unusual plaques;Alzheimer disease, type 3, with spastic paraparesis and apraxia;Alzheimer disease, type 3, with spastic paraparesis and unusual plaques"
23377,REEP1,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Spastic paraplegia 31, autosomal dominant, 610250"
23378,RTN2,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Spastic paraplegia 12, autosomal dominant, 604805"
23379,SACS,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Spastic ataxia, Charlevoix-Saguenay type, 270550"
23380,SLC25A15,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Hyperornithinemia-hyperammonemia-homocitrullinemia syndrome, OMIM:238970"
23381,SPAST,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Spastic paraplegia 4, autosomal dominant, 182601"
23382,SPG11,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Spastic paraplegia 11, autosomal recessive, 604360;Charcot-Marie-Tooth disease, axonal, type 2X, 616668, AR;Amyotrophic lateral sclerosis 5, juvenile, 602099, AR"
23383,SPG21,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Mast syndrome, 248900;Spastic Paraplegia, autosomal recessive"
23384,SPG7,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Spastic paraplegia 7, autosomal recessive, 607259"
23385,TUBB4A,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Dystonia 4, torsion, autosomal dominant, 128101;ataxia;Leukodystrophy, hypomyelinating, 612438 AD"
23386,UBAP1,Hereditary spastic paraplegia - adult onset,gene_panel_567,Hereditary spastic paraplegia
23387,WASHC5,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Spastic paraplegia 8, autosomal dominant, OMIM:603563"
23388,ZFYVE26,Hereditary spastic paraplegia - adult onset,gene_panel_567,"Spastic paraplegia 15, autosomal recessive, 270700"
23389,ABCD1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,spastic paraparesis;VLCFA accumulation;adrenal failure;Hereditary spastic paraplegia
23390,ADAR,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Aicardi-Goutieres syndrome 6, 615010"
23391,AFG3L2,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic ataxia 5, autosomal recessive OMIM:614487;spastic ataxia 5 MONDO:0013776;Spinocerebellar ataxia 28 OMIM:610246;spinocerebellar ataxia type 28 MONDO:0012450"
23392,AIMP1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Leukodystrophy, hypomyelinating, 3, OMIM:260600"
23393,ALDH18A1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 9B, autosomal recessive, 616586;SPG9;Spastic paraplegia 9A, autosomal dominant, 601162;ADCL3 AUTOSOMAL RECESSIVE MENTAL RETARDATION-JOINT HYPERMOBILITY-SKIN LAXITY WITH OR WITHOUT METABOLIC ABNORMALITIES (MRJHSL) SPASTIC PARAPLEGIA 9, AUTOSOMAL DOMINANT;Spastic paraplegia 9B, autosomal recessive CUTIS LAXA, AUTOSOMAL DOMINANT 3"
23394,ALDH3A2,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Sjogren-Larsson syndrome, OMIM:270200"
23395,ALS2,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Amyotrophic lateral sclerosis 2, juvenile, OMIM:205100;Primary lateral sclerosis, juvenile, OMIM:606353;Spastic paralysis, infantile onset ascending, OMIM:607225"
23396,AP4B1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 47, autosomal recessive, OMIM:614066;Hereditary spastic paraplegia 47, MONDO:0013551"
23397,AP4E1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 51, autosomal recessive, OMIM:613744;Hereditary spastic paraplegia 51, MONDO:0013401"
23398,AP4M1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 50, autosomal recessive, 612936"
23399,AP4S1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"developmental delay;seizures;Spastic paraplegia 52, autosomal recessive, 614067"
23400,AP5Z1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 48, autosomal recessive, OMIM:613647"
23401,ARG1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Argininemia, OMIM:207800"
23402,ARL6IP1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 61, autosomal recessive, OMIM:615685;hereditary spastic paraplegia 61, MONDO:0014304"
23403,ATL1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 3A, autosomal dominant,182600;Spastic Paraplegia, Dominant"
23404,ATP13A2,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Adult-onset lower-limb predominant spastic paraparesis;Spastic paraplegia 78, autosomal recessive, 617225;complicated hereditary spastic paraplegia"
23405,B4GALNT1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 26, autosomal recessive, 609195"
23406,BCAS3,Hereditary spastic paraplegia - childhood onset,gene_panel_568,Syndromic neurodevelopmental disorder
23407,BSCL2,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Silver spastic paraplegia syndrome, OMIM:270685;Neuropathy, distal hereditary motor, type VC, OMIM:619112"
23408,C12orf65,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 55, autosomal recessive, OMIM:615035"
23409,C19orf12,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"?Spastic paraplegia 43, autosomal recessive, OMIM:615043;Neurodegeneration with brain iron accumulation 4, OMIM: 614298"
23410,CAPN1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 76 autosomal recessive, 616907"
23411,CPT1C,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 73, autosomal dominant, OMIM:616282"
23412,CYP27A1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Cerebrotendinous xanthomatosis, 213700;progressive lower extremity spasticity,often disproportionate to any degree of weakness"
23413,CYP2U1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 56, autosomal recessive, 615030"
23414,CYP7B1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 5A, autosomal recessive, OMIM:270800"
23415,DARS,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"leg spasticity;Brain stem and spinal cord Hypomyelination;Hypomyelination with brainstem and spinal cord involvement and leg spasticity, 615281"
23416,DDHD1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 28, autosomal recessive, 609340"
23417,DDHD2,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 54, autosomal recessive, 615033"
23418,ELOVL1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Ichthyotic keratoderma, spasticity, hypomyelination, and dysmorphic facies, OMIM:618527"
23419,ENTPD1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 64, autosomal recessive, OMIM:615683"
23420,ERLIN1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Hereditary spastic paraplegia;Spastic paraplegia 62, 615681"
23421,ERLIN2,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia, autosomal dominant;Spastic paraplegia 18, autosomal recessive,  611225;hereditary spastic paraplegia;neurodegeneration"
23422,FA2H,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 35, autosomal recessive, 612319"
23423,FAR1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Peroxisomal fatty acyl-CoA reductase 1 disorder, OMIM:616154"
23424,FARS2,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 77, autosomal recessive, 617046"
23425,FXN,Hereditary spastic paraplegia - childhood onset,gene_panel_568,Friedreich ataxia OMIM:229300;Friedreich ataxia with retained reflexes OMIM:229300;Friedreich ataxia 1 MONDO:0100340
23426,GALC,Hereditary spastic paraplegia - childhood onset,gene_panel_568,Krabbe disease OMIM:245200
23427,GBA2,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 46, autosomal recessive, 614409"
23428,GCH1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Dystonia, DOPA-responsive, with or without hyperphenylalaninemia, 128230;Dystonia;progressive spastic paraplegia;Spastic paraplegia"
23429,GJA1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Oculodentodigital dysplasia, OMIM:164200;Spastic paraplegia"
23430,GLRX5,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spasticity, childhood-onset, with hyperglycinemia, OMIM:616859"
23431,GPT2,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Neurodevelopmental disorder with microcephaly and spastic paraplegia, OMIM:616281"
23432,HACE1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia and psychomotor retardation with or without seizures, 616756;Spastic paraplegia;seizure;psychomotor retardation"
23433,HIKESHI,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Leukodystrophy, hypomyelinating, 13, OMIM:616881"
23434,HPDL,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Neurodevelopmental disorder with progressive spasticity and brain white matter abnormalities, OMIM:619026;Neurodevelopmental disorder with progressive spasticity and brain white matter abnormalities, MONDO:0033613;Spastic paraplegia 83, autosomal recessive, OMIM:619027;Spastic paraplegia 83, autosomal recessive, MONDO:0033614"
23435,IFIH1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Aicardi-Goutieres syndrome 7, OMIM:615846"
23436,KCNA2,Hereditary spastic paraplegia - childhood onset,gene_panel_568,hereditary spastic paraplegia and ataxia
23437,KDM5C,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Intellectual disability;developmental delay;epilepsy;progressive spasticity;Mental retardation, X-linked, syndromic, Claes-Jensen type, 300534;hypothyroidism"
23438,KIDINS220,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia, intellectual disability, nystagmus, and obesity, OMIM:617296"
23439,KIF1A,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 30, autosomal dominant, OMIM:610357;Spastic paraplegia 30, autosomal recessive, OMIM:610357;NESCAV syndrome, OMIM:614255"
23440,KIF1C,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic ataxia 2, autosomal recessive, OMIM:611302"
23441,KIF5A,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 10, autosomal dominant, 604187"
23442,L1CAM,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"CRASH syndrome, OMIM:303350;MASA syndrome, OMIM:303350;Hydrocephalus due to aqueductal stenosis, OMIM:307000;Hydrocephalus with congential idiopathic intestinal pseudoobstruction, OMIM:307000;Hydrocephalus with Hirschsprung disease, OMIM:307000"
23443,MAPK8IP3,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Neurodevelopmental disorder with or without variable brain abnormalities, OMIM:618443"
23444,NIPA1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 6, autosomal dominant, 600363"
23445,NKX6-2,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic ataxia 8, autosomal recessive, with hypomyelinating leukodystrophy, 617560"
23446,NT5C2,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 45, autosomal recessive, 613162"
23447,OPA3,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"3-methylglutaconic aciduria, type III, 258501;Costeff syndrome"
23448,PCYT2,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 82, autosomal recessive, 618770"
23449,PLP1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 2, X-linked, 312920"
23450,PNPLA6,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 39, autosomal recessive, 612020"
23451,POLR3A,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Leukodystrophy, hypomyelinating, 7, with or without oligodontia and/or hypogonadotropic hypogonadism, 607694;Autosomal Recessive Ataxia"
23452,REEP1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 31, autosomal dominant, 610250"
23453,REEP2,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 72, autosomal dominant,615625;Spastic paraplegia 72, autosomal recessive, 615625"
23454,RNASEH2B,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Aicardi-Goutieres syndrome 2, OMIM:61018"
23455,RNU7-1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,Type I interferonopathy;Aicardi-Gouti res syndrome
23456,RTN2,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 12, autosomal dominant, 604805"
23457,SACS,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic ataxia, Charlevoix-Saguenay type, 270550"
23458,SERAC1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome, OMIM:614739"
23459,SLC16A2,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Allan-Herndon-Dudley syndrome, OMIM:300523"
23460,SLC1A4,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic tetraplegia, thin corpus callosum, and progressive microcephaly, 616657"
23461,SLC25A15,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Hyperornithinemia-hyperammonemia-homocitrullinemia syndrome, OMIM:238970"
23462,SLC2A1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"spastic paraplegia;seizure;Dystonia 9, 601042;Developmental delay;paroxysmal choreoathetosis"
23463,SPART,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Troyer syndrome, OMIM:275900;Spastic paraplegia 20"
23464,SPAST,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 4, autosomal dominant, 182601"
23465,SPG11,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 11, autosomal recessive, 604360"
23466,SPG21,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic Paraplegia, Recessive;Mast syndrome, 248900"
23467,SPG7,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 7, autosomal recessive, 607259"
23468,STN1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,Cerebroretinal microangiopathy with calcifications and cysts 2 OMIM:617341
23469,TFG,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 57, autosomal recessive, OMIM:615658"
23470,TUBB4A,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Leukodystrophy, hypomyelinating, 6 612438;ataxia;Dystonia 4, torsion, autosomal dominant 128101"
23471,UBAP1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,Hereditary spastic paraplegia
23472,UCHL1,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 79, autosomal recessive, OMIM:615491"
23473,WASHC5,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 8, autosomal dominant, OMIM:603563"
23474,WDR45B,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Neurodevelopmental disorder with spastic quadriplegia and brain abnormalities with or without seizures, OMIM:617977"
23475,ZFYVE26,Hereditary spastic paraplegia - childhood onset,gene_panel_568,"Spastic paraplegia 15, autosomal recessive, 270700"
23889,ACAD9,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,Mitochondrial complex I deficiency due to ACAD9 deficiency 611126
23890,ACADM,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Rhabdomyolysis; Acyl-CoA dehydrogenase, medium chain, deficiency of	201450"
23891,ACADVL,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"VLCAD deficiency, OMIM:201475"
23892,AGL,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Glycogen storage disease IIIa	232400; Glycogen storage disease IIIb	232400"
23893,ALDOA,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Glycogen storage disease XII, OMIM:611881"
23894,ANO5,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Miyoshi muscular dystrophy 3	613319;Muscular dystrophy, limb-girdle, type 2L	611307"
23895,CACNA1S,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"{Malignant hyperthermia susceptibility 5}, OMIM:601887"
23896,CAV3,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Myopathy, distal, Tateyama type, OMIM:614321;Rippling muscle disease, OMIM:606072"
23897,CPT2,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"CPT II deficiency, myopathic, stress-induced, OMIM:255110;Exercise intolerance and rhabdomyolysis, late onset"
23898,DMD,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Becker muscular dystrophy	300376"
23899,DYSF,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Miyoshi muscular dystrophy 1, OMIM:254130;Muscular dystrophy, limb-girdle, autosomal recessive 2, OMIM:253601;Myopathy, distal, with anterior tibial onset, OMIM:606768"
23900,ENO3,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Glycogen storage disease XIII, OMIM:612932"
23901,ETFA,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,Glutaric acidemia IIA 231680
23902,ETFB,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Glutaric acidemia IIB	231680"
23903,ETFDH,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Glutaric acidemia IIC	231680"
23904,FKRP,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 5	607155"
23905,FKTN,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Fukuyama congenital muscular dystrophy; 	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4	253800"
23906,GAA,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Glycogen storage disease II	232300"
23907,GBE1,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Glycogen storage disease IV, OMIM:232500"
23908,GYG1,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"?Glycogen storage disease XV	613507;Polyglucosan body myopathy 2	616199"
23909,GYS1,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Glycogen storage disease 0, muscle, OMIM:611556"
23910,HADHA,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Mitochondrial trifunctional protein deficiency, OMIM:609015"
23911,HADHB,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Trifunctional protein deficiency	609015"
23912,ISCU,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Myopathy with lactic acidosis, hereditary	255125"
23913,LAMP2,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Danon disease	300257"
23914,LDHA,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Glycogen storage disease XI	612933"
23915,LPIN1,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Myoglobinuria, acute recurrent, autosomal recessive	268200"
23916,PFKM,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Glycogen storage disease VII	232800"
23917,PGAM2,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Glycogen storage disease X	261670"
23918,PGK1,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Phosphoglycerate kinase 1 deficiency	300653"
23919,PGM1,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Congenital disorder of glycosylation, type It	614921"
23920,PHKA1,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Muscle glycogenosis	300559"
23921,PHKB,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Phosphorylase kinase deficiency of liver and muscle, autosomal recessive	261750"
23922,POLG2,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 4	610131"
23923,PYGM,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Glycogen storage disease V McArdle disease	232600	AR"
23924,RBCK1,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Polyglucosan body myopathy 1 with or without immunodeficiency, OMIM:615895"
23925,RYR1,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"{Malignant hyperthermia susceptibility 1}, 145600;Central core disease, 117000;Minicore myopathy with external ophthalmoplegia, 255320;Neuromuscular disease, congenital, with uniform type 1 fiber, 117000  King-Denborough syndrome, 145600"
23926,SIL1,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Marinesco-Sjogren syndrome	248800"
23927,SLC22A5,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Carnitine deficiency, systemic primary	212140"
23928,SUCLA2,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Mitochondrial DNA depletion syndrome 5 (encephalomyopathic with or without methylmalonic aciduria)	612073"
23929,TANGO2,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration, OMIM:616878"
23930,TK2,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Mitochondrial DNA depletion syndrome 2 (myopathic type), 609560"
23931,TSEN54,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Pontocerebellar hypoplasia type 2A, OMIM:277470"
23932,TSFM,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,Combined oxidative phosphorylation deficiency 3 610505
23933,TYMP,Rhabdomyolysis and metabolic muscle disorders,gene_panel_66,"Mitochondrial DNA depletion syndrome 1 (MNGIE type), OMIM:603041"
24994,AARS,Hereditary neuropathy NOT PMP22 copy number,gene_panel_846,"Charcot-Marie-Tooth disease, axonal, type 2N, OMIM:613287;Charcot-Marie-Tooth disease axonal type 2N, MONDO:0013212"
24995,ABCA1,Hereditary neuropathy NOT PMP22 copy number,gene_panel_846,"pain, paresthesias, anaesthesia;Multifocal relapsing mononeuropathies. Orange tonsils, organomegaly;Tangier disease, 205400"
24996,AIFM1,Hereditary neuropathy NOT PMP22 copy number,gene_panel_846,"Cowchock syndrome, OMIM:310490;Combined oxidative phosphorylation deficiency 6, OMIM:300816"
24997,ATL1,Hereditary neuropathy NOT PMP22 copy number,gene_panel_846,"Neuropathy, hereditary sensory, type ID, 613708"
24998,ATP1A1,Hereditary neuropathy NOT PMP22 copy number,gene_panel_846,"Charcot-Marie-Tooth disease, axonal, type 2DD, 618036"
24999,ATP7A,Hereditary neuropathy NOT PMP22 copy number,gene_panel_846,Hereditary Neuropathies
25000,BICD2,Hereditary neuropathy NOT PMP22 copy number,gene_panel_846,"Spinal muscular atrophy, lower extremity-predominant, 2, AD, 615290"
25001,BSCL2,Hereditary neuropathy NOT PMP22 copy number,gene_panel_846,"Neuropathy, distal hereditary motor, type VC, OMIM:619112"
25002,C1orf194,Hereditary neuropathy NOT PMP22 copy number,gene_panel_846,"Charcot-Marie-Tooth disease, intermediate or demyelinating"
25003,CHCHD10,Hereditary neuropathy NOT PMP22 copy number,gene_panel_846,"Spinal muscular atrophy, Jokela type: 615048"
25004,COX6A1,Hereditary neuropathy NOT PMP22 copy number,gene_panel_846,"Charcot Marie Tooth disease, recessive intermediate D, 616039"
25005,CPOX,Hereditary neuropathy NOT PMP22 copy number,gene_panel_846,"Coproporphyria, 121300;Harderoporphyria, 121300;Skin photosensitivity and haemolytic anaemia. Can present acutely similar to AIP"
25006,CYP27A1,Hereditary neuropathy NOT PMP22 copy number,gene_panel_846,"SNCV described in a minority of patients;Adolescent-onset progressive ataxia, myelopathy and dementia, cataracts, low cholesterol, atherosclerosis, xanthomas, soft palate myoclonus, intractable infantile-onset diarrhoea, cerebral white matter lesions on MRI, sensory to motor axonal neuropathy;Cerebrotendinous xanthomatosis, 213700"
